,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
102,0.7964,03/25/18,0.0,0.647,0.353,CNN,Britain's Scott Brash wins first leg of Global Champions Tour in Mexico City https://t.co/zTB0S4uvFQ https://t.co/cvQjxRDSDJ
103,0.0,03/25/18,0.0,1.0,0.0,CNN,"Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9"
104,-0.0772,03/25/18,0.126,0.874,0.0,CNN,Facebook's Zuckerberg says sorry in full-page newspaper ads https://t.co/uchVl0f1EI https://t.co/VkKlB7VzmQ
105,0.0,03/25/18,0.0,1.0,0.0,CNN,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i
106,-0.0997,03/25/18,0.109,0.805,0.086,CNN,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf
107,0.0,03/25/18,0.0,1.0,0.0,CNN,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW"
108,0.4767,03/25/18,0.0,0.78,0.22,CNN,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX
109,-0.6124,03/25/18,0.294,0.706,0.0,CNN,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH
110,0.1901,03/25/18,0.0,0.907,0.093,CNN,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B"
111,-0.4404,03/25/18,0.244,0.756,0.0,CNN,The key players in the Stormy Daniels scandal https://t.co/4k8CTDlFVi https://t.co/gOFDXmglmx
112,0.0,03/25/18,0.0,1.0,0.0,CNN,What happens when the world's two biggest economies turn on each other https://t.co/kGu99fYZvv https://t.co/JgzxQmVohv
113,-0.4404,03/25/18,0.266,0.734,0.0,CNN,Cabinet wives swept up in secretaries' woes https://t.co/gRHqqfoIly https://t.co/zlGvUYxnQS
114,0.5994,03/25/18,0.0,0.776,0.224,CNN,"Mark Warner, the top Democrat on the Senate Intelligence Committee, says Mark Zuckerberg needs to testify about Fac… https://t.co/QZBstaZDg1"
115,0.4404,03/25/18,0.0,0.884,0.116,CNN,"""I hope. ... they know that there is light at the end of the tunnel.""

CNN's Ed Lavandera followed a group of survi… https://t.co/OOo7eRjDKZ"
116,0.0,03/25/18,0.0,1.0,0.0,CNN,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box"" for their inaction… https://t.co/KHTlD7iUuh"
117,0.5106,03/25/18,0.0,0.845,0.155,CNN,"A driver's dramatic rescue from his SUV was caught on camera as floodwaters came rushing through Santa Clarita, Cal… https://t.co/vP9wOndR4x"
118,0.7469,03/25/18,0.0,0.586,0.414,CNN,The marching students wowed this security mom https://t.co/nRBizoN4s5 | via @CNNOpinion https://t.co/OVjQzh5nq9
119,-0.4939,03/25/18,0.225,0.775,0.0,CNN,Why the Stormy Daniels interview should scare Republicans https://t.co/z6li30k8qv | via @CNNOpinion https://t.co/tIcn4gfX6Q
120,0.0,03/25/18,0.0,1.0,0.0,CNN,Orange snow blankets parts of Russia https://t.co/EXDdbGDbSx https://t.co/pwOhPn6xKD
121,-0.6369,03/25/18,0.366,0.634,0.0,CNN,Australia cricket captain Steve Smith resigns over ball-tampering scandal https://t.co/9X1PKDFlne https://t.co/HsjRwLpC1Z
122,0.7964,03/25/18,0.0,0.647,0.353,CNN,Britain's Scott Brash wins first leg of Global Champions Tour in Mexico City https://t.co/zTB0S4uvFQ https://t.co/cvQjxRDSDJ
